epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.9003,1.91719,1.69782,1.47766,0.60233,0.58994,0.58826,0.21069,1.98829,1.4199,1.55992,0.000474298,0.000474298,0.000474298
2,143.879,1.82907,1.21285,1.44854,0.74846,0.65532,0.70229,0.28213,1.85144,1.06946,1.50951,0.00094122,0.00094122,0.00094122
3,212.648,1.80774,1.10405,1.44169,0.7147,0.68436,0.70736,0.29851,1.79345,0.98205,1.56002,0.00139871,0.00139871,0.00139871
4,281.058,1.78588,1.05229,1.449,0.73853,0.71903,0.75805,0.31566,1.80567,0.89593,1.55282,0.00138656,0.00138656,0.00138656
5,349.589,1.75606,0.99724,1.43284,0.66493,0.72775,0.72565,0.29814,1.82976,0.92306,1.54994,0.00137241,0.00137241,0.00137241
6,418.311,1.7447,0.96838,1.42987,0.8071,0.81585,0.82197,0.33497,1.76152,0.82996,1.49243,0.00135826,0.00135826,0.00135826
7,486.65,1.72363,0.93658,1.41455,0.82875,0.75276,0.81368,0.34333,1.81763,0.85667,1.53239,0.00134412,0.00134412,0.00134412
8,554.812,1.71485,0.91376,1.41119,0.80355,0.78921,0.81017,0.34045,1.78022,0.83163,1.49806,0.00132997,0.00132997,0.00132997
9,622.892,1.70875,0.90716,1.41655,0.77515,0.78281,0.78088,0.33444,1.71749,0.88744,1.50657,0.00131582,0.00131582,0.00131582
10,690.923,1.68259,0.8719,1.3966,0.80231,0.81997,0.82067,0.33944,1.76192,0.77917,1.52632,0.00130168,0.00130168,0.00130168
11,758.829,1.67875,0.8623,1.39364,0.7473,0.78894,0.83346,0.33896,1.78931,0.7956,1.53633,0.00128753,0.00128753,0.00128753
12,826.716,1.67353,0.85158,1.39344,0.82017,0.81845,0.82272,0.34919,1.76276,0.77282,1.51018,0.00127338,0.00127338,0.00127338
13,894.766,1.66011,0.84292,1.38231,0.81037,0.81722,0.82904,0.3505,1.73003,0.74801,1.49551,0.00125923,0.00125923,0.00125923
14,963.461,1.65207,0.84106,1.38734,0.83077,0.80396,0.83209,0.36069,1.69682,0.71993,1.48228,0.00124509,0.00124509,0.00124509
15,1031.6,1.64428,0.82973,1.37766,0.80516,0.82242,0.8076,0.34797,1.74425,0.72857,1.5012,0.00123094,0.00123094,0.00123094
16,1099.63,1.63302,0.81802,1.37636,0.86861,0.82243,0.84757,0.34786,1.68875,0.75386,1.49507,0.00121679,0.00121679,0.00121679
17,1167.55,1.63131,0.81141,1.37272,0.81498,0.83844,0.80762,0.34828,1.73165,0.71254,1.52241,0.00120265,0.00120265,0.00120265
18,1235.61,1.63648,0.80972,1.37542,0.82387,0.81915,0.79677,0.34083,1.7625,0.75877,1.51638,0.0011885,0.0011885,0.0011885
19,1303.96,1.60093,0.78634,1.36732,0.86165,0.8736,0.85732,0.35208,1.70983,0.70726,1.48783,0.00117435,0.00117435,0.00117435
20,1373.31,1.61369,0.79068,1.35551,0.82817,0.8486,0.83807,0.34226,1.69989,0.72191,1.48638,0.00116021,0.00116021,0.00116021
21,1441.33,1.61704,0.79616,1.36482,0.82621,0.76921,0.78552,0.33579,1.73841,0.73367,1.49532,0.00114606,0.00114606,0.00114606
22,1509.37,1.59626,0.7834,1.35644,0.83535,0.84842,0.82542,0.35327,1.69225,0.70041,1.48231,0.00113191,0.00113191,0.00113191
23,1577.51,1.60027,0.77788,1.35605,0.86132,0.86726,0.86194,0.36599,1.72263,0.69029,1.49658,0.00111776,0.00111776,0.00111776
24,1646.07,1.59147,0.76955,1.35172,0.80338,0.84817,0.82937,0.35954,1.72616,0.70873,1.49175,0.00110362,0.00110362,0.00110362
25,1714.31,1.5905,0.76729,1.35368,0.85156,0.83492,0.82468,0.35655,1.71558,0.67121,1.50357,0.00108947,0.00108947,0.00108947
26,1783.23,1.58328,0.75398,1.34684,0.80156,0.80315,0.80024,0.35219,1.72305,0.68939,1.48574,0.00107532,0.00107532,0.00107532
27,1852.4,1.58732,0.75709,1.35334,0.84271,0.84672,0.83302,0.34984,1.75286,0.69171,1.51519,0.00106118,0.00106118,0.00106118
28,1924.91,1.5754,0.75482,1.34936,0.80517,0.80056,0.82428,0.35097,1.7156,0.67459,1.49521,0.00104703,0.00104703,0.00104703
29,1995.92,1.57303,0.76019,1.347,0.8274,0.79717,0.7881,0.33987,1.75505,0.70512,1.52057,0.00103288,0.00103288,0.00103288
30,2067.02,1.57359,0.74958,1.34361,0.82327,0.78354,0.81145,0.35712,1.72168,0.67252,1.5087,0.00101873,0.00101873,0.00101873
31,2137.47,1.56475,0.74542,1.33972,0.84083,0.84162,0.82996,0.35847,1.73289,0.70099,1.51632,0.00100459,0.00100459,0.00100459
32,2207.77,1.56007,0.73425,1.33304,0.83468,0.84511,0.83007,0.3602,1.70154,0.68748,1.49778,0.00099044,0.00099044,0.00099044
33,2278.51,1.55282,0.73943,1.34021,0.84813,0.82609,0.81927,0.35698,1.69703,0.66931,1.50261,0.000976293,0.000976293,0.000976293
34,2349.2,1.54557,0.72895,1.33077,0.84768,0.84758,0.85015,0.35885,1.73896,0.66862,1.52805,0.000962146,0.000962146,0.000962146
35,2418.32,1.5459,0.72735,1.33599,0.85846,0.85416,0.84048,0.36327,1.70734,0.66505,1.50268,0.000947999,0.000947999,0.000947999
36,2485.96,1.54085,0.71946,1.32688,0.84717,0.82346,0.84736,0.3666,1.70441,0.67296,1.48995,0.000933851,0.000933851,0.000933851
37,2553.85,1.54798,0.72499,1.32693,0.8343,0.8446,0.83097,0.3635,1.69508,0.65865,1.48677,0.000919704,0.000919704,0.000919704
38,2621.4,1.53235,0.71974,1.32478,0.82555,0.83913,0.82359,0.36237,1.71066,0.66244,1.49283,0.000905557,0.000905557,0.000905557
39,2690.07,1.54573,0.72051,1.32571,0.8273,0.83958,0.83901,0.36625,1.69773,0.65958,1.49569,0.00089141,0.00089141,0.00089141
40,2758.1,1.52311,0.70776,1.32401,0.81948,0.80397,0.79925,0.35128,1.69722,0.65482,1.48974,0.000877263,0.000877263,0.000877263
41,2826.47,1.52758,0.70819,1.31684,0.79599,0.80361,0.79549,0.35304,1.70317,0.65649,1.48729,0.000863116,0.000863116,0.000863116
42,2894.4,1.52401,0.70877,1.31976,0.81604,0.83418,0.82187,0.34467,1.74041,0.66839,1.51328,0.000848969,0.000848969,0.000848969
43,2964.91,1.51919,0.70554,1.31634,0.84235,0.82412,0.8174,0.35343,1.70187,0.65833,1.50087,0.000834822,0.000834822,0.000834822
44,3034.89,1.50755,0.69803,1.30604,0.84694,0.81907,0.8231,0.35441,1.70441,0.64602,1.49193,0.000820675,0.000820675,0.000820675
45,3103.07,1.50139,0.69279,1.30744,0.8339,0.8323,0.84364,0.36293,1.70598,0.63327,1.49909,0.000806528,0.000806528,0.000806528
46,3170.82,1.5126,0.6934,1.30825,0.85252,0.83996,0.85182,0.35922,1.70673,0.64706,1.48792,0.00079238,0.00079238,0.00079238
47,3239.36,1.49546,0.68699,1.29794,0.82061,0.81456,0.77946,0.34902,1.71142,0.63606,1.49644,0.000778233,0.000778233,0.000778233
48,3308.28,1.50102,0.69122,1.30525,0.8535,0.8519,0.84811,0.36148,1.72831,0.6429,1.51944,0.000764086,0.000764086,0.000764086
49,3377.1,1.50286,0.68357,1.30599,0.84037,0.82741,0.8115,0.36144,1.69259,0.62759,1.49377,0.000749939,0.000749939,0.000749939
50,3445.81,1.48887,0.68423,1.30234,0.8476,0.81781,0.81753,0.36,1.7325,0.63674,1.5162,0.000735792,0.000735792,0.000735792
51,3514.55,1.4955,0.68704,1.3037,0.84233,0.81696,0.8049,0.35753,1.71479,0.63724,1.50865,0.000721645,0.000721645,0.000721645
52,3582.76,1.47943,0.6768,1.29987,0.83453,0.83762,0.81257,0.35667,1.73389,0.63514,1.51103,0.000707498,0.000707498,0.000707498
53,3651.37,1.4868,0.68031,1.29736,0.85272,0.8399,0.83594,0.3649,1.6891,0.6288,1.49547,0.000693351,0.000693351,0.000693351
54,3719.73,1.47763,0.68394,1.29593,0.86608,0.8581,0.85181,0.36383,1.71088,0.62939,1.5067,0.000679204,0.000679204,0.000679204
55,3787.6,1.477,0.67569,1.29552,0.87627,0.85332,0.84859,0.35569,1.71777,0.63712,1.50971,0.000665057,0.000665057,0.000665057
